Date,Index,Inflation
1913/1/1,9.8,
1913/2/1,9.8,0
1913/3/1,9.8,0
1913/4/1,9.8,0
1913/5/1,9.7,-1.02
1913/6/1,9.8,1.03
1913/7/1,9.9,1.02
1913/8/1,9.9,0
1913/9/1,10,1.01
1913/10/1,10,0
1913/11/1,10.1,1
1913/12/1,10,-0.99
1914/1/1,10,0
1914/2/1,9.9,-1
1914/3/1,9.9,0
1914/4/1,9.8,-1.01
1914/5/1,9.9,1.02
1914/6/1,9.9,0
1914/7/1,10,1.01
1914/8/1,10.2,2
1914/9/1,10.2,0
1914/10/1,10.1,-0.98
1914/11/1,10.2,0.99
1914/12/1,10.1,-0.98
1915/1/1,10.1,0
1915/2/1,10,-0.99
1915/3/1,9.9,-1
1915/4/1,10,1.01
1915/5/1,10.1,1
1915/6/1,10.1,0
1915/7/1,10.1,0
1915/8/1,10.1,0
1915/9/1,10.1,0
1915/10/1,10.2,0.99
1915/11/1,10.3,0.98
1915/12/1,10.3,0
1916/1/1,10.4,0.97
1916/2/1,10.4,0
1916/3/1,10.5,0.96
1916/4/1,10.6,0.95
1916/5/1,10.7,0.94
1916/6/1,10.8,0.93
1916/7/1,10.8,0
1916/8/1,10.9,0.93
1916/9/1,11.1,1.83
1916/10/1,11.3,1.8
1916/11/1,11.5,1.77
1916/12/1,11.6,0.87
1917/1/1,11.7,0.86
1917/2/1,12,2.56
1917/3/1,12,0
1917/4/1,12.6,5
1917/5/1,12.8,1.59
1917/6/1,13,1.56
1917/7/1,12.8,-1.54
1917/8/1,13,1.56
1917/9/1,13.3,2.31
1917/10/1,13.5,1.5
1917/11/1,13.5,0
1917/12/1,13.7,1.48
1918/1/1,14,2.19
1918/2/1,14.1,0.71
1918/3/1,14,-0.71
1918/4/1,14.2,1.43
1918/5/1,14.5,2.11
1918/6/1,14.7,1.38
1918/7/1,15.1,2.72
1918/8/1,15.4,1.99
1918/9/1,15.7,1.95
1918/10/1,16,1.91
1918/11/1,16.3,1.88
1918/12/1,16.5,1.23
1919/1/1,16.5,0
1919/2/1,16.2,-1.82
1919/3/1,16.4,1.23
1919/4/1,16.7,1.83
1919/5/1,16.9,1.2
1919/6/1,16.9,0
1919/7/1,17.4,2.96
1919/8/1,17.7,1.72
1919/9/1,17.8,0.56
1919/10/1,18.1,1.69
1919/11/1,18.5,2.21
1919/12/1,18.9,2.16
1920/1/1,19.3,2.12
1920/2/1,19.5,1.04
1920/3/1,19.7,1.03
1920/4/1,20.3,3.05
1920/5/1,20.6,1.48
1920/6/1,20.9,1.46
1920/7/1,20.8,-0.48
1920/8/1,20.3,-2.4
1920/9/1,20,-1.48
1920/10/1,19.9,-0.5
1920/11/1,19.8,-0.5
1920/12/1,19.4,-2.02
1921/1/1,19,-2.06
1921/2/1,18.4,-3.16
1921/3/1,18.3,-0.54
1921/4/1,18.1,-1.09
1921/5/1,17.7,-2.21
1921/6/1,17.6,-0.56
1921/7/1,17.7,0.57
1921/8/1,17.7,0
1921/9/1,17.5,-1.13
1921/10/1,17.5,0
1921/11/1,17.4,-0.57
